length_url,length_hostname,nb_dots,nb_hyphens,nb_slash,nb_www,https_token,ratio_digits_url,nb_subdomains,nb_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,nb_hyperlinks,ratio_intHyperlinks,ratio_extHyperlinks,nb_extCSS,ratio_extRedirection,ratio_extErrors,external_favicon,links_in_tags,ratio_intMedia,ratio_extMedia,safe_anchor,domain_with_copyright,domain_registration_length,domain_age,web_traffic,google_index,page_rank
37,19,3,0,3,1,1,0,3,0,4,4,3,3,3,11,11,6,5.75,7,4.5,17,0.5,0.4,0,0.8,0.5,0,80,100,0,0,1,45,-1,0,1,4
77,23,1,0,5,0,1,0.220779221,1,1,4,4,2,19,2,32,19,32,15.75,19,14.66666667,30,0.966666667,0.033333333,0,0,0,0,100,80,20,100,0,77,5767,0,1,2
126,50,4,1,5,0,0,0.150793651,3,1,12,2,2,3,2,17,13,17,8.25,8.4,8.142857143,4,1,0,0,0,0,0,100,0,0,100,0,14,4004,5828815,1,0
18,11,2,0,2,0,1,0,2,1,1,0,5,5,0,5,5,0,5,5,0,149,0.973154362,0.026845638,0,0.25,0.25,0,100,96.42857143,3.571428571,62.5,0,62,-1,107721,0,3
55,15,2,2,5,1,1,0,2,1,6,3,3,3,4,11,7,11,6.333333333,5,7,102,0.470588235,0.529411765,0,0.537037037,0.018518519,0,76.47058824,0,100,0,1,224,8175,8725,0,6
32,24,3,1,3,0,1,0,3,1,4,3,3,3,0,7,7,0,4.5,4.5,0,10,0.3,0.7,0,0.571428571,0,0,100,0,0,0,1,0,-1,0,1,0
19,12,2,0,2,1,1,0,2,1,2,3,3,3,0,5,5,0,4,4,0,98,0.081632653,0.918367347,10,0,0,1,0,0,100,100,1,170,7529,0,0,1
81,27,2,0,5,1,1,0.259259259,2,1,5,8,2,3,2,32,19,32,13.2,11,14.66666667,30,0.966666667,0.033333333,0,0,0,0,100,80,20,100,0,76,5767,0,1,2
42,34,2,0,3,0,1,0,2,0,2,0,8,8,0,21,21,0,14.5,14.5,0,63,0.206349206,0.793650794,3,0.38,0,1,0,0,100,27.27272727,1,371,7298,0,0,5
104,10,1,10,6,0,0,0.076923077,1,0,14,0,2,6,2,10,6,10,5.571428571,6,5.538461538,140,0.778571429,0.221428571,1,0.193548387,0,1,93.10344828,10,90,58.13953488,0,128,9368,6774,0,5
56,22,3,0,4,1,0,0,3,0,6,3,3,3,3,15,15,7,6.666666667,9,5.5,15,1,0,0,0,0,0,100,100,0,0,1,0,-1,1627089,0,2
43,16,2,3,3,1,0,0.186046512,2,0,6,3,2,3,2,8,8,6,4.333333333,5.5,3.75,88,0.931818182,0.068181818,0,0.166666667,0.166666667,0,100,100,0,62.5,0,489,7911,944,0,6
83,14,1,9,4,0,0,0.012048193,1,0,11,2,3,10,3,10,10,10,5.454545455,10,5,325,0.775384615,0.224615385,0,0.04109589,0.164383562,0,100,98.4496124,1.550387597,38.79310345,1,320,1505,158942,0,4
31,10,2,0,3,0,1,0.064516129,2,1,3,1,4,4,4,8,4,8,5.333333333,4,6,3,1,0,0,0,0,0,0,0,0,0,0,66,1761,1173197,1,4
